name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Always Watching,"Always Watching	{1}{W}{W}
Enchantment
Nontoken creatures you control get +1/+1 and have vigilance.

",https://scryfall.com/card/iko/1/always-watching,https://cards.scryfall.io/large/front/c/f/cf65bfa0-9c05-4e9e-b4c7-d705e1a822c1.jpg?1592764645,时刻戒护,時刻戒護,Observation constante,Immer wachsam,Sempre all'Erta,永遠の見守り,끝없는 감시,Sempre Vigilante,Вечный Дозор,Siempre alerta
Angel of Deliverance,"Angel of Deliverance	{6}{W}{W}
Creature — Angel
Flying
Delirium — Whenever this creature deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.
6/6
",https://scryfall.com/card/iko/2/angel-of-deliverance,https://cards.scryfall.io/large/front/f/4/f4e12f83-eab8-4113-ab63-3f7a830861d4.jpg?1576383639,解脱天使,解脫天使,Ange de la délivrance,Engel der Erlösung,Angelo della Redenzione,救出の天使,구원의 천사,Anjo do Livramento,Ангел Освобождения,Ángel de la liberación
Angelic Purge,"Angelic Purge	{2}{W}
Sorcery
As an additional cost to cast this spell, sacrifice a permanent.
Exile target artifact, creature, or enchantment.

",https://scryfall.com/card/iko/3/angelic-purge,https://cards.scryfall.io/large/front/e/d/ed2fe361-2885-4fc9-a10f-960cc1ac0fbf.jpg?1736467455,天使涤净,天使滌淨,Épuration angélique,Engelhafte Säuberung,Epurazione Angelica,天使の粛清,천사의 숙청,Purgação Angelical,Ангельское Очищение,Purga angelical
Apothecary Geist,"Apothecary Geist	{3}{W}
Creature — Spirit
Flying
When this creature enters, if you control another Spirit, you gain 3 life.
2/3
",https://scryfall.com/card/iko/4/apothecary-geist,https://cards.scryfall.io/large/front/a/7/a79df1a1-6d60-4e5f-b4d8-668155836bb6.jpg?1736467457,药剂师游魂,藥劑師遊魂,Geist apothicaire,Apothekergeist,Geist Speziale,薬剤師の霊,약제사 심령,Geist Apotecário,Привидение Аптекаря,Geist boticario
"Archangel Avacyn // Avacyn, the Purifier","Archangel Avacyn // Avacyn, the Purifier	{3}{W}{W}
Legendary Creature — Angel
Flash
Flying, vigilance
When Archangel Avacyn enters, creatures you control gain indestructible until end of turn.
When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.
4/4
",https://scryfall.com/card/iko/5/archangel-avacyn--avacyn-the-purifier,https://cards.scryfall.io/large/front/f/e/fe675f03-cbb5-4177-b7d7-64a30260ee2a.jpg?1736467464,大天使艾维欣 // 净罪天使艾维欣,大天使艾維欣 // 淨罪天使艾維欣,"Archange Avacyn // Avacyn, la purificatrice",Erzengel Avacyn // Avacyn die Läuterin,"Arcangelo Avacyn // Avacyn, la Purificatrice",大天使アヴァシン // 浄化の天使、アヴァシン,대천사 아바신 // 정화자 아바신,"Arcanjo Avacyn // Avacyn, a Purificadora","Архангел Авацина // Авацина, Очистительница","Arcángel Avacyn // Avacyn, la Purificadora"
"Archangel Avacyn // Avacyn, the Purifier","Archangel Avacyn // Avacyn, the Purifier	
Legendary Creature — Angel
Flying
When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.
6/5
",https://scryfall.com/card/iko/6/archangel-avacyn--avacyn-the-purifier,https://cards.scryfall.io/large/front/f/e/fe675f03-cbb5-4177-b7d7-64a30260ee2a.jpg?1736467464,大天使艾维欣 // 净罪天使艾维欣,大天使艾維欣 // 淨罪天使艾維欣,"Archange Avacyn // Avacyn, la purificatrice",Erzengel Avacyn // Avacyn die Läuterin,"Arcangelo Avacyn // Avacyn, la Purificatrice",大天使アヴァシン // 浄化の天使、アヴァシン,대천사 아바신 // 정화자 아바신,"Arcanjo Avacyn // Avacyn, a Purificadora","Архангел Авацина // Авацина, Очистительница","Arcángel Avacyn // Avacyn, la Purificadora"
Avacynian Missionaries // Lunarch Inquisitors,"Avacynian Missionaries // Lunarch Inquisitors	{3}{W}
Creature — Human Cleric
At the beginning of your end step, if this creature is equipped, transform it.
3/3
",https://scryfall.com/card/iko/7/avacynian-missionaries--lunarch-inquisitors,https://cards.scryfall.io/large/front/1/0/1001e708-e4f9-456a-8b9d-3421a2a3833d.jpg?1576383680,艾维欣传教士 // 月主会审判官,艾維欣傳教士 // 月主會審判官,Missionnaires avacyniens // Inquisiteurs lunarques,Avacyns Missionare // Inquisitoren der Lunarchen,Missionari di Avacyn // Inquisitori del Lunarca,アヴァシン教の宣教師 // 月皇の審問官,아바신 선교단 // 달의 심문관,Missionários Avacynianos // Inquisidores Lunarcas,Миссионеры Авацины // Инквизиторы Лунархов,Misioneros avacynos // Inquisidores lunarcas
Avacynian Missionaries // Lunarch Inquisitors,"Avacynian Missionaries // Lunarch Inquisitors	
Creature — Human Cleric
When this creature transforms into Lunarch Inquisitors, you may exile another target creature until this creature leaves the battlefield.
4/4
",https://scryfall.com/card/iko/8/avacynian-missionaries--lunarch-inquisitors,https://cards.scryfall.io/large/front/1/0/1001e708-e4f9-456a-8b9d-3421a2a3833d.jpg?1576383680,艾维欣传教士 // 月主会审判官,艾維欣傳教士 // 月主會審判官,Missionnaires avacyniens // Inquisiteurs lunarques,Avacyns Missionare // Inquisitoren der Lunarchen,Missionari di Avacyn // Inquisitori del Lunarca,アヴァシン教の宣教師 // 月皇の審問官,아바신 선교단 // 달의 심문관,Missionários Avacynianos // Inquisidores Lunarcas,Миссионеры Авацины // Инквизиторы Лунархов,Misioneros avacynos // Inquisidores lunarcas
Bound by Moonsilver,"Bound by Moonsilver	{2}{W}
Enchantment — Aura
Enchant creature
Enchanted creature can't attack, block, or transform.
Sacrifice another permanent: Attach this Aura to target creature. Activate only as a sorcery and only once each turn.

",https://scryfall.com/card/iko/9/bound-by-moonsilver,https://cards.scryfall.io/large/front/6/4/647f5c2f-3ced-4397-a366-6f0e57582566.jpg?1737936147,受桎月银,受桎月銀,Entravé par l'argent de lune,Gebunden durch Mondsilber,Vincolo del Selenargento,月銀の拘束,은달빛 구속,Preso com Prata Lunar,Узы Лунного Серебра,Amarrado por platalunar
Bygone Bishop,"Bygone Bishop	{2}{W}
Creature — Spirit Cleric
Flying
Whenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
2/3
",https://scryfall.com/card/iko/10/bygone-bishop,https://cards.scryfall.io/large/front/c/f/cf879fc7-9f84-40a7-a7be-9cc98a720af5.jpg?1674141058,往生主教,往生主教,Évêque des temps passés,Verblichener Bischof,Vescovo Trapassato,往時の主教,잊혀진 주교,Bispo do Passado,Почивший Епископ,Obispa finada
