name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Aegis of the Gods,"Aegis of the Gods	{1}{W}
Enchantment Creature — Human Soldier
You have hexproof. (You can't be the target of spells or abilities your opponents control.)
2/1
",https://scryfall.com/card/jou/1/aegis-of-the-gods,https://cards.scryfall.io/large/front/f/2/f2b2f381-86a2-42ac-b694-dcde437d574f.jpg?1593095152,庇佑神使,庇佑神使,Égide des dieux,Schildwache der Götter,Egida degli Dei,神々の神盾,신들의 방패,Égide dos Deuses,Эгида Богов,Égida de los dioses
Ajani's Presence,"Ajani's Presence	{W}
Instant
Strive — This spell costs {2}{W} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)

",https://scryfall.com/card/jou/2/ajanis-presence,https://cards.scryfall.io/large/front/e/7/e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a.jpg?1593095164,阿耶尼的风采,阿耶尼的風采,Présence d'Ajani,Ajanis Präsenz,Presenza di Ajani,アジャニの存在,아자니의 존재감,Presença de Ajani,Присутствие Аджани,Presencia de Ajani
Akroan Mastiff,"Akroan Mastiff	{3}{W}
Creature — Dog
{W}, {T}: Tap target creature.
2/2
",https://scryfall.com/card/jou/3/akroan-mastiff,https://cards.scryfall.io/large/front/7/e/7e21938b-46b1-4b2f-8269-0cd0e998cddc.jpg?1593095175,阿喀洛斯獒犬,阿喀洛斯獒犬,Dogue akroen,Akroischer Mastiff,Mastino di Akros,アクロスの猛犬,아크로스 마스티프,Mastim Acrosano,Акросский Мастиф,Mastín akroniense
Armament of Nyx,"Armament of Nyx	{2}{W}
Enchantment — Aura
Enchant creature
Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. (A creature with double strike deals both first-strike and regular combat damage.)

",https://scryfall.com/card/jou/4/armament-of-nyx,https://cards.scryfall.io/large/front/4/2/4203df15-dd44-496b-889a-d7a8fe320330.jpg?1593095185,尼兹战具,尼茲戰具,Armement de Nyx,Nyx-Bewaffnung,Armamento di Nyx,ニクスの武装,닉스의 무기,Armamento de Nyx,Вооружение Никса,Armamento de Nyx
Banishing Light,"Banishing Light	{2}{W}
Enchantment
When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.

",https://scryfall.com/card/jou/5/banishing-light,https://cards.scryfall.io/large/front/c/4/c45f11cd-a0aa-4d14-aa21-57f0969f3e2b.jpg?1752946576,驱逐明光,驅逐明光,Lumière de bannissement,Bannendes Licht,Luce Esiliatrice,払拭の光,추방의 빛,Luz Banidora,Изгоняющий Свет,Luz de destierro
Dawnbringer Charioteers,"Dawnbringer Charioteers	{2}{W}{W}
Creature — Human Soldier
Flying, lifelink
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature.
2/4
",https://scryfall.com/card/jou/6/dawnbringer-charioteers,https://cards.scryfall.io/large/front/e/c/eca7b7d9-8b69-411a-8a1d-9b7d0492e7d0.jpg?1593095201,送晓御夫,送曉御夫,Auriges porteurs de l'aube,Wagenlenker der Morgenröte,Aurighi dell'Alba,黎明運びの戦車兵,여명을 부르는 전차대,Aurigas da Alvorada,Колесничие Зари,Aurigas portadores del alba
Deicide,"Deicide	{1}{W}
Instant
Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles.

",https://scryfall.com/card/jou/7/deicide,https://cards.scryfall.io/large/front/6/0/6012964c-eb76-4581-82ae-aec2d36f0d56.jpg?1593095208,弑神,弒神,Théobole,Gottesmord,Deicidio,神討ち,신을 죽이다,Deicídio,Богоубийство,Deicidio
Dictate of Heliod,"Dictate of Heliod	{3}{W}{W}
Enchantment
Flash
Creatures you control get +2/+2.

",https://scryfall.com/card/jou/8/dictate-of-heliod,https://cards.scryfall.io/large/front/f/9/f964c561-96ac-4558-b46e-ba2c472d5807.jpg?1562711717,赫利欧德的旨意,赫利歐德的旨意,Précepte d'Héliode,Gebot des Heliod,Dettami di Eliod,ヘリオッドの指図,헬리아드의 규율,Decreto de Heliode,Веление Гелиода,Mandato de Heliod
Eagle of the Watch,"Eagle of the Watch	{2}{W}
Creature — Bird
Flying, vigilance
2/1
",https://scryfall.com/card/jou/9/eagle-of-the-watch,https://cards.scryfall.io/large/front/8/a/8af7956d-f811-49d3-bef7-07f294dcea3c.jpg?1562030310,守望雄鹰,守望雄鷹,Aigle des veilleurs,Adler der Wache,Aquila della Guardia,警備隊の鷲,경비대 독수리,Águia da Vigia,Сторожевой Орел,Águila de la Guardia
Eidolon of Rhetoric,"Eidolon of Rhetoric	{2}{W}
Enchantment Creature — Spirit
Each player can't cast more than one spell each turn.
1/4
",https://scryfall.com/card/jou/10/eidolon-of-rhetoric,https://cards.scryfall.io/large/front/c/3/c3bc8b9e-4d22-41ba-b593-d383fd301ef9.jpg?1593095228,巧辞幻灵,巧辭幻靈,Eidôlon de la rhétorique,Eidolon der Redekunst,Apparizione della Retorica,弁論の幻霊,웅변의 에이돌론,Eidolon da Retórica,Эйдолон Риторики,Eidolón de la retórica
Font of Vigor,"Font of Vigor	{1}{W}
Enchantment
{2}{W}, Sacrifice this enchantment: You gain 7 life.

",https://scryfall.com/card/jou/11/font-of-vigor,https://cards.scryfall.io/large/front/d/4/d4ef3a8e-ef8b-417a-a3a9-cb0ce88cb0c9.jpg?1593095237,活力洗礼池,活力洗禮池,Fontaine de vigueur,Quell der Lebenskraft,Fonte del Vigore,活力の泉,활력의 세례반,Fonte do Vigor,Источник Сил,Fuente del vigor
Godsend,"Godsend	{1}{W}{W}
Legendary Artifact — Equipment
Equipped creature gets +3/+3.
Whenever equipped creature blocks or becomes blocked by one or more creatures, you may exile one of those creatures.
Your opponents can't cast spells with the same name as a card exiled with Godsend.
Equip {3}

",https://scryfall.com/card/jou/12/godsend,https://cards.scryfall.io/large/front/2/d/2dcf3975-7f81-4bdd-810d-476f46444b7a.jpg?1593095245,承阳剑,承陽劍,Don du ciel,Gottesheil,Nemesi degli Dei,神送り,신의 선물,Mensageira dos Deuses,Божий Дар,Filo divino
Harvestguard Alseids,"Harvestguard Alseids	{2}{W}
Enchantment Creature — Nymph
Constellation — Whenever this creature or another enchantment you control enters, prevent all damage that would be dealt to target creature this turn.
2/3
",https://scryfall.com/card/jou/13/harvestguard-alseids,https://cards.scryfall.io/large/front/3/b/3b9256e2-b59c-4997-91c1-4c565746d53d.jpg?1593095252,佑丰蔻灵,佑豐蔻靈,Alséïdes des moissons,Ernte-Alseiden,Alseidi del Raccolto,収穫守りのアルセイド,수확감시자 알세이드,Alseídes da Colheita,"Альсеиды, Хранительницы Урожая",Alseides guardacosecha
Lagonna-Band Trailblazer,"Lagonna-Band Trailblazer	{W}
Creature — Centaur Scout
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on it.
0/4
",https://scryfall.com/card/jou/14/lagonna-band-trailblazer,https://cards.scryfall.io/large/front/3/8/38a6f533-6acb-4c24-ae9d-fe4977230156.jpg?1593095258,拉苟那族开路人,拉苟那族開路人,Pionnière du clan Lagonna,Pionierin der Lagonna-Herde,Scopripista della Banda Lagonna,ラゴンナ団の先駆者,라곤나 무리 개척자,Pioneira do Bando de Lagonna,Путница Племени Лагонна,Pionera del clan Lagonna
Launch the Fleet,"Launch the Fleet	{W}
Sorcery
Strive — This spell costs {1} more to cast for each target beyond the first.
Until end of turn, any number of target creatures each gain ""Whenever this creature attacks, create a 1/1 white Soldier creature token that's tapped and attacking.""

",https://scryfall.com/card/jou/15/launch-the-fleet,https://cards.scryfall.io/large/front/b/c/bc3e52c0-2f79-4537-8f1c-70b68836bac0.jpg?1593095265,舰队启航,艦隊啟航,Déployer la flotte,Die Flotte aussenden,Arrembaggio della Flotta,船団の出航,함대 출진,Lançar a Frota,Спуск Флота,Flota a la carga
Leonin Iconoclast,"Leonin Iconoclast	{3}{W}
Creature — Cat Monk
Heroic — Whenever you cast a spell that targets this creature, destroy target enchantment creature an opponent controls.
3/2
",https://scryfall.com/card/jou/16/leonin-iconoclast,https://cards.scryfall.io/large/front/7/d/7dfaa12e-f1d9-4a39-804f-14cdaf382257.jpg?1593095271,反逆狮族,反逆獅族,Iconoclaste léonine,Leoniden-Ikonoklastin,Iconoclasta Leonid,レオニンの偶像破壊者,레오닌 우상파괴자,Iconoclasta Leonino,Леонинская Бунтарка,Iconoclasta leonina
