name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Battlewise Valor,"Battlewise Valor	{1}{W}
Instant
Target creature gets +2/+2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)

",https://scryfall.com/card/ths/1/battlewise-valor,https://cards.scryfall.io/large/front/7/d/7d967a4c-2323-4361-a907-5ca9140d8793.jpg?1562820440,智兵团之勇,智兵團之勇,Valeur du sage de guerre,Tapferkeit der Kampferprobten,Valore dei Guerrieri Sagaci,戦識の武勇,숙련병의 용기,Bravura dos Belisábios,Храбрость Битвознатца,Coraje en la batalla
Cavalry Pegasus,"Cavalry Pegasus	{1}{W}
Creature — Pegasus
Flying
Whenever this creature attacks, each attacking Human gains flying until end of turn.
1/1
",https://scryfall.com/card/ths/2/cavalry-pegasus,https://cards.scryfall.io/large/front/c/5/c552cb9e-41f2-4006-8ff4-5e214b91652e.jpg?1591319945,飞马坐骑,飛馬坐騎,Pégase de cavalerie,Kavallerie-Pegasus,Pegaso della Cavalleria,乗騎ペガサス,페가수스 기병,Pégaso de Cavalaria,Кавалерийский Пегас,Pegaso de caballería
Celestial Archon,"Celestial Archon	{3}{W}{W}
Enchantment Creature — Archon
Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Flying, first strike
Enchanted creature gets +4/+4 and has flying and first strike.
4/4
",https://scryfall.com/card/ths/3/celestial-archon,https://cards.scryfall.io/large/front/c/4/c40cb58f-370f-487a-9a96-bdce173aa3c6.jpg?1592710411,天界统领,天界統領,Archonte céleste,Himmlischer Archon,Arconte Celeste,天界の執政官,천상의 집정관,Arconte Celestial,Небесный Архонт,Arconte celestial
Chained to the Rocks,"Chained to the Rocks	{W}
Enchantment — Aura
Enchant Mountain you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield. (That creature returns under its owner's control.)

",https://scryfall.com/card/ths/4/chained-to-the-rocks,https://cards.scryfall.io/large/front/a/5/a5af083f-5820-4185-ac04-4c4368f7703c.jpg?1562823699,链锁岩上,鏈鎖岩上,Enchaîné aux rochers,An Felsen gekettet,Incatenato alle Rocce,岩への繋ぎ止め,바위에 묶이다,Acorrentado às Rochas,Прикованный к Скале,Encadenado a las rocas
Chosen by Heliod,"Chosen by Heliod	{1}{W}
Enchantment — Aura
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +0/+2.

",https://scryfall.com/card/ths/5/chosen-by-heliod,https://cards.scryfall.io/large/front/d/8/d8ead499-920c-465a-a23d-f08710d7e9bc.jpg?1562833065,赫利欧德眷宠,赫利歐德眷寵,Favori d'Héliode,Begünstigter des Heliod,Prescelto di Eliod,ヘリオッドの選抜,헬리아드가 선택한 자,Escolhido de Heliode,Милость Гелиода,Elegido por Heliod
Dauntless Onslaught,"Dauntless Onslaught	{2}{W}
Instant
Up to two target creatures each get +2/+2 until end of turn.

",https://scryfall.com/card/ths/6/dauntless-onslaught,https://cards.scryfall.io/large/front/a/a/aae001aa-10a0-482a-86fe-bf6ca7fc0866.jpg?1600696291,无畏猛攻,無畏猛攻,Carnage intrépide,Furchtloser Ansturm,Assalto Intrepido,不屈の猛攻,불굴의 맹공,Investida Destemida,Бесстрашный Натиск,Embestida intrépida
Decorated Griffin,"Decorated Griffin	{4}{W}
Creature — Griffin
Flying
{1}{W}: Prevent the next 1 combat damage that would be dealt to you this turn.
2/3
",https://scryfall.com/card/ths/7/decorated-griffin,https://cards.scryfall.io/large/front/7/b/7bc2f3a0-444d-4cad-970f-6c4a63b02cce.jpg?1562820372,功勋狮鹫,功勳獅鷲,Griffon décoré,Hochdekorierter Greif,Grifone Decorato,受勲したグリフィン,훈장받은 그리핀,Grifo Condecorado,Награжденный Грифон,Grifo engalanado
Divine Verdict,"Divine Verdict	{3}{W}
Instant
Destroy target attacking or blocking creature.

",https://scryfall.com/card/ths/8/divine-verdict,https://cards.scryfall.io/large/front/e/d/ed07b708-7232-4b87-b5d9-edaa20a69293.jpg?1555039673,明圣裁定,明聖裁定,Verdict divin,Göttliches Verdikt,Verdetto Divino,神聖なる評決,신의 판결,Veredito Divino,Божественный Приговор,Veredicto divino
"Elspeth, Sun's Champion","Elspeth, Sun's Champion	{4}{W}{W}
Legendary Planeswalker — Elspeth
[+1]: Create three 1/1 white Soldier creature tokens.
[−3]: Destroy all creatures with power 4 or greater.
[−7]: You get an emblem with ""Creatures you control get +2/+2 and have flying.""

",https://scryfall.com/card/ths/9/elspeth-suns-champion,https://cards.scryfall.io/large/front/4/6/46dc2519-2729-4bbd-8892-fab6186bf116.jpg?1706240571,旭日天尊艾紫培,旭日天尊艾紫培,"Elspeth, championne du Soleil","Elspeth, Auserwählte der Sonne","Elspeth, Campionessa del Sole",太陽の勇者、エルズペス,태양의 용사 엘스페스,"Elspeth, Campeã do Sol","Элспет, Поборница Солнца","Elspeth, campeona del sol"
Ephara's Warden,"Ephara's Warden	{3}{W}
Creature — Human Cleric
{T}: Tap target creature with power 3 or less.
1/2
",https://scryfall.com/card/ths/10/epharas-warden,https://cards.scryfall.io/large/front/7/1/71f7f788-2795-46a7-82ae-270f1e9415ca.jpg?1562819780,厄芳拉的护持师,厄芳拉的護持師,Garde d'Éphara,Epharas Wächterin,Guardiana di Efara,エファラの管理人,에파라의 관리인,Guardião de Efara,Стражница Эфары,Protectora de Efara
Evangel of Heliod,"Evangel of Heliod	{4}{W}{W}
Creature — Human Cleric
When this creature enters, create a number of 1/1 white Soldier creature tokens equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
1/3
",https://scryfall.com/card/ths/11/evangel-of-heliod,https://cards.scryfall.io/large/front/c/c/ccc00c82-7c2a-4699-8058-e57f690ece96.jpg?1631233984,赫利欧德的福音师,赫利歐德的福音師,Prédicatrice d'Héliode,Heliod-Evangelistin,Evangelista di Eliod,ヘリオッドの福音者,헬리아드의 전도사,Evangelista de Heliode,Благовестница Гелиода,Misionera de Heliod
Fabled Hero,"Fabled Hero	{1}{W}{W}
Creature — Human Soldier
Double strike
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on it.
2/2
",https://scryfall.com/card/ths/12/fabled-hero,https://cards.scryfall.io/large/front/6/4/642d9a5c-5697-4747-adce-5a71bcf1c086.jpg?1562819107,赫名英雄,赫名英雄,Héros illustre,Sagenhafter Held,Eroe Epico,威名の英雄,이름난 영웅,Herói Fabuloso,Легендарный Герой,Héroe de leyendas
Favored Hoplite,"Favored Hoplite	{W}
Creature — Human Soldier
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature and prevent all damage that would be dealt to it this turn.
1/2
",https://scryfall.com/card/ths/13/favored-hoplite,https://cards.scryfall.io/large/front/2/5/251015ed-9408-4941-894a-158551ed2613.jpg?1562815791,眷宠重装步兵,眷寵重裝步兵,Hoplite favori,Begünstigter Hoplit,Oplita Favorito,恩寵の重装歩兵,은혜받은 중장보병,Hoplita Protegido,Избранный Гоплит,Hoplita favorito
Gift of Immortality,"Gift of Immortality	{2}{W}
Enchantment — Aura
Enchant creature
When enchanted creature dies, return that card to the battlefield under its owner's control. Return this card to the battlefield attached to that creature at the beginning of the next end step.

",https://scryfall.com/card/ths/14/gift-of-immortality,https://cards.scryfall.io/large/front/4/a/4ae22015-073a-4666-9e3b-15dcf61f50ce.jpg?1780929988,永生赠礼,永生贈禮,Don d'immortalité,Gabe der Unsterblichkeit,Dono dell'Immortalità,不死の贈り物,불멸의 축복,Dádiva da Imortalidade,Дар Бессмертия,Don de inmortalidad
Glare of Heresy,"Glare of Heresy	{1}{W}
Sorcery
Exile target white permanent.

",https://scryfall.com/card/ths/15/glare-of-heresy,https://cards.scryfall.io/large/front/8/e/8ed3d16f-f0c6-4080-8913-758208b08234.jpg?1562821357,异端怒视,異端怒視,Éblouissement d'hérésie,Blick des Ketzers,Sguardo di Eresia,異端の輝き,이단의 빛,Fulgor da Heresia,Блеск Ереси,Mirada herética
Gods Willing,"Gods Willing	{W}
Instant
Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)
Scry 1.

",https://scryfall.com/card/ths/16/gods-willing,https://cards.scryfall.io/large/front/1/3/138f0e49-71d5-4582-92be-797e753f0f42.jpg?1706239736,众神意旨,眾神意旨,À la grâce des dieux,Wille der Götter,Volere degli Dei,神々の思し召し,신들의 뜻,Vontade dos Deuses,Воля Богов,La voluntad de los dioses
"Heliod, God of the Sun","Heliod, God of the Sun	{3}{W}
Legendary Enchantment Creature — God
Indestructible
As long as your devotion to white is less than five, Heliod isn't a creature. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
Other creatures you control have vigilance.
{2}{W}{W}: Create a 2/1 white Cleric enchantment creature token.
5/6
",https://scryfall.com/card/ths/17/heliod-god-of-the-sun,https://cards.scryfall.io/large/front/b/8/b83e9693-4996-498c-95f7-884d40341298.jpg?1690004134,太阳神赫利欧德,太陽神赫利歐德,"Héliode, dieu du Soleil","Heliod, Gott der Sonne","Eliod, Dio del Sole",太陽の神、ヘリオッド,태양의 신 헬리아드,"Heliode, Deus do Sol","Гелиод, Бог Солнца","Heliod, dios del sol"
Heliod's Emissary,"Heliod's Emissary	{3}{W}
Enchantment Creature — Elk
Bestow {6}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Whenever this creature or enchanted creature attacks, tap target creature an opponent controls.
Enchanted creature gets +3/+3.
3/3
",https://scryfall.com/card/ths/18/heliods-emissary,https://cards.scryfall.io/large/front/4/9/49663acb-582e-495a-b45e-5fc5f4949f22.jpg?1562817630,赫利欧德的密使,赫利歐德的密使,Émissaire d'Héliode,Gesandter des Heliod,Emissario di Eliod,ヘリオッドの使者,헬리아드의 사절,Emissário de Heliode,Посланник Гелиода,Emisario de Heliod
