name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Adaptive Shimmerer,"Adaptive Shimmerer	{5}
Creature — Insect
Flash
This creature enters with three +1/+1 counters on it.
0/0
",https://scryfall.com/card/iko/1/adaptive-shimmerer,https://cards.scryfall.io/large/front/d/8/d8a2e243-e446-46c6-8a37-e26620951c41.jpg?1591230173,适境烁光虫,適境爍光蟲,Scintilleur évolutif,Anpassungsfähiger Schimmerer,Scintillante Adattivo,順応する煌くもの,적응하는 반짝벌레,Cintilador Adaptável,Адаптирующаяся Сиятельница,Deslumbrador cambiante
Farfinder,"Farfinder	{3}
Creature — Fox
Vigilance
When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.
1/1
",https://scryfall.com/card/iko/2/farfinder,https://cards.scryfall.io/large/front/5/3/53f63f40-46f1-4b9e-b447-ff9274f2b926.jpg?1591230179,识途灵狐,識途靈狐,Traqueloin,Fernensucher,Scovadistanze,彼方見,원격탐색꾼,Encontra-terras,Ищейка,Descubridora
Mysterious Egg,"Mysterious Egg	{1}
Creature — Egg
Whenever this creature mutates, put a +1/+1 counter on it.
0/2
",https://scryfall.com/card/iko/3/mysterious-egg,https://cards.scryfall.io/large/front/c/d/cdfac3c3-7f38-49d6-bd88-dc0f5001116f.jpg?1688477285,玄奇蛋,玄奇蛋,Œuf mystérieux,Mysteriöses Ei,Uovo Misterioso,不思議な卵,불가사의한 알,Ovo Misterioso,Загадочное Яйцо,Huevo misterioso
Blade Banish,"Blade Banish	{3}{W}
Instant
Exile target creature with power 4 or greater.

",https://scryfall.com/card/iko/4/blade-banish,https://cards.scryfall.io/large/front/3/5/35a30091-7f68-4a67-b47e-f44318fc93b2.jpg?1591230194,剑光封喉,劍光封喉,Bannir par la lame,Klingenbann,Bandire con la Lama,刃による払拭,칼날 소멸,Banimento a Lâmina,Изгнание Клинком,Destierro afilado
Checkpoint Officer,"Checkpoint Officer	{1}{W}
Creature — Human Soldier
{1}{W}, {T}: Tap target creature.
1/2
",https://scryfall.com/card/iko/5/checkpoint-officer,https://cards.scryfall.io/large/front/4/a/4a0e12f5-7b15-4a8c-b045-35bcbf1fbb90.jpg?1591230200,关卡长官,關卡長官,Officier du poste de contrôle,Offizier des Kontrollpunkts,Ufficiale del Posto di Controllo,検問官,검문소 장교,Oficial do Posto de Controle,Офицер Заставы,Oficial del puesto de control
Coordinated Charge,"Coordinated Charge	{4}{W}
Instant
Creatures you control get +2/+1 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)

",https://scryfall.com/card/iko/6/coordinated-charge,https://cards.scryfall.io/large/front/1/2/129c404b-2c1e-4f0b-bb4e-7e8e627a69a8.jpg?1636491416,协同冲锋,協同衝鋒,Charge coordonnée,Koordinierter Ansturm,Carica Coordinata,揃った突撃,연합 돌격,Carga Coordenada,Скоординированная Атака,Ataque coordinado
Cubwarden,"Cubwarden	{3}{W}
Creature — Cat
Mutate {2}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Lifelink
Whenever this creature mutates, create two 1/1 white Cat creature tokens with lifelink.
3/5
",https://scryfall.com/card/iko/7/cubwarden,https://cards.scryfall.io/large/front/c/c/cc322744-5d8f-448d-b868-381bb86b68f9.jpg?1591230214,护崽慈狮,護崽慈獅,Nourrice,Jungtierhüter,Custode dei Cuccioli,幼獣守り,새끼보호자,Guarda-filhotes,Защитница Выводка,Protegecachorros
Daysquad Marshal,"Daysquad Marshal	{3}{W}
Creature — Human Soldier
When this creature enters, create a 1/1 white Human Soldier creature token.
3/3
",https://scryfall.com/card/iko/8/daysquad-marshal,https://cards.scryfall.io/large/front/1/7/17d566bd-f272-49d1-bffb-588f2a42046a.jpg?1591230220,昼班队元帅,晝班隊元帥,Maréchale de l'escouade diurne,Marschall der Tagwache,Marescialla dello Squadrone Diurno,日勤隊の指揮官,낮 부대 집행관,Marechal do Esquadrão Diurno,Начальница Дневного Отряда,Mariscal de la brigada diurna
Divine Arrow,"Divine Arrow	{1}{W}
Instant
Divine Arrow deals 4 damage to target attacking or blocking creature.

",https://scryfall.com/card/iko/9/divine-arrow,https://cards.scryfall.io/large/front/3/5/352c4997-2b96-45da-a4e1-70a86453c6fa.jpg?1600696320,神箭穿心,神箭穿心,Flèche divine,Göttlicher Pfeil,Freccia Divina,神聖なる矢,신성한 화살,Flecha Divina,Божественная Стрела,Flecha divina
Drannith Healer,"Drannith Healer	{1}{W}
Creature — Human Cleric
Whenever you cycle another card, you gain 1 life.
Cycling {1} ({1}, Discard this card: Draw a card.)
2/2
",https://scryfall.com/card/iko/10/drannith-healer,https://cards.scryfall.io/large/front/f/f/ff5a821c-eaec-4f69-97c7-8299cdebc2f4.jpg?1591230232,卓尼斯治疗师,卓尼斯治療師,Guérisseur de Drannith,Drannithischer Heiler,Guaritore di Drannith,ドラニスの癒し手,드라니스 치유사,Curandeiro de Drannith,Драннитский Целитель,Sanador de Drannith
Drannith Magistrate,"Drannith Magistrate	{1}{W}
Creature — Human Wizard
Your opponents can't cast spells from anywhere other than their hands.
1/3
",https://scryfall.com/card/iko/11/drannith-magistrate,https://cards.scryfall.io/large/front/9/8/98b0a4a8-9319-451b-9b79-b0bca7a41e91.jpg?1628801742,卓尼斯官员,卓尼斯官員,Magistrat de Drannith,Drannithischer Magistrat,Magistrato di Drannith,ドラニスの判事,드라니스 판사,Magistrado de Drannith,Драннитский Магистрат,Magistrado de Drannith
Fight as One,"Fight as One	{W}
Instant
Choose one or both —
• Target Human creature you control gets +1/+1 and gains indestructible until end of turn.
• Target non-Human creature you control gets +1/+1 and gains indestructible until end of turn.

",https://scryfall.com/card/iko/12/fight-as-one,https://cards.scryfall.io/large/front/5/c/5c62ea13-9bd5-46ce-a861-68cf9a2c6f8c.jpg?1603555430,羁绊合一,羈絆合一,Ne faire qu'un au combat,Zusammen kämpfen,Combattere Uniti,一心同体,하나된 싸움,Lutar como Um,Бок о Бок,Luchar como uno
Flourishing Fox,"Flourishing Fox	{W}
Creature — Fox
Whenever you cycle another card, put a +1/+1 counter on this creature.
Cycling {1} ({1}, Discard this card: Draw a card.)
1/1
",https://scryfall.com/card/iko/13/flourishing-fox,https://cards.scryfall.io/large/front/7/8/78b81339-746d-4f71-9943-01c0f6a5683a.jpg?1591230253,待哺幼狐,待哺幼狐,Renard prospère,Gedeihender Fuchs,Volpe Fiorente,繁栄の狐,융성하는 여우,Raposa Florescente,Матерая Лисица,Zorro de la prosperidad
Garrison Cat,"Garrison Cat	{W}
Creature — Cat
When this creature dies, create a 1/1 white Human Soldier creature token.
1/1
",https://scryfall.com/card/iko/14/garrison-cat,https://cards.scryfall.io/large/front/e/7/e7ff8345-227c-43b4-bed5-af3a34c0a990.jpg?1591230261,驻防猫,駐防貓,Chat de la garnison,Garnisonskatze,Felino della Guarnigione,駐屯地の猫,수비대 고양이,Gato da Guarnição,Гарнизонная Кошка,Felino del baluarte
Helica Glider,"Helica Glider	{2}{W}
Creature — Nightmare Squirrel
This creature enters with your choice of a flying counter or a first strike counter on it.
2/2
",https://scryfall.com/card/iko/15/helica-glider,https://cards.scryfall.io/large/front/8/f/8fc88fe0-2424-49a7-9abf-4773a547d010.jpg?1591230268,曲枝飞鼠,曲枝飛鼠,Planeur de spiracacia,Helixwald-Gleithörnchen,Planatore di Fitoelice,らせん樹の滑空獣,헬리카 활강자,Planador de Heliqueiras,Летяга Спираледрева,Planeadora de hélicas
Huntmaster Liger,"Huntmaster Liger	{3}{W}
Creature — Cat
Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +X/+X until end of turn, where X is the number of times this creature has mutated.
3/4
",https://scryfall.com/card/iko/16/huntmaster-liger,https://cards.scryfall.io/large/front/0/5/058d6a7d-12b0-4d82-a5bd-91fa44bbc5e1.jpg?1591230274,善猎狮虎,善獵獅虎,Ligre maître-chasseur,Jagdanführer-Liger,Ligre Capocaccia,猟匠ライガー,사냥지휘관 라이거,Ligre Mestre de Caça,Ловчий Лигр,Ligre maestro de la caza
Imposing Vantasaur,"Imposing Vantasaur	{5}{W}
Creature — Dinosaur
Vigilance
Cycling {1} ({1}, Discard this card: Draw a card.)
3/6
",https://scryfall.com/card/iko/17/imposing-vantasaur,https://cards.scryfall.io/large/front/b/6/b6fa5feb-f5e9-4079-acc9-84e458044769.jpg?1591230282,庄严高颈龙,莊嚴高頸龍,Miradosaure imposant,Imposanter Vantasaurus,Superiosauro Imponente,威圧するヴァンタサウルス,위압적인 반타사우루스,Vantassauro Imponente,Внушительный Вышезавр,Altosaurio imponente
