name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Acolyte's Reward,"Acolyte's Reward	{1}{W}
Instant
Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)

",https://scryfall.com/card/bng/1/acolytes-reward,https://cards.scryfall.io/large/front/c/d/cd8980af-c3fa-4027-917a-4a3d441c0a75.jpg?1593091337,侍僧的报偿,侍僧的報償,Récompense de l'acolyte,Belohnung des Tempeldieners,Ricompensa dell'Accolito,侍祭の報賞,견습 사제의 보상,Recompensa do Acólito,Награда Служителя,Recompensa del acólito
Akroan Phalanx,"Akroan Phalanx	{3}{W}
Creature — Human Soldier
Vigilance
{2}{R}: Creatures you control get +1/+0 until end of turn.
3/3
",https://scryfall.com/card/bng/2/akroan-phalanx,https://cards.scryfall.io/large/front/f/e/fe23019a-e432-4a27-8acb-b17728a1e8b0.jpg?1593091348,阿喀洛斯方阵兵团,阿喀洛斯方陣兵團,Phalange akroenne,Akroische Phalanx,Falange di Akros,アクロスの密集軍,아크로스 팔랑크스,Falange Acrosana,Акросская Фаланга,Falange akroniense
Akroan Skyguard,"Akroan Skyguard	{1}{W}
Creature — Human Soldier
Flying
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature.
1/1
",https://scryfall.com/card/bng/3/akroan-skyguard,https://cards.scryfall.io/large/front/d/5/d55e85c3-234e-49c4-a307-96fb4497eea8.jpg?1593091357,阿喀洛斯空护卫,阿喀洛斯空護衛,Gardeciel akroen,Akroischer Himmelswächter,Guardia Celeste di Akros,アクロスの空護衛,아크로스 창공수호자,Guardião Alado Acrosano,Акросский Небесный Страж,Guardia celeste akroniense
Archetype of Courage,"Archetype of Courage	{1}{W}{W}
Enchantment Creature — Human Soldier
Creatures you control have first strike.
Creatures your opponents control lose first strike and can't have or gain first strike.
2/2
",https://scryfall.com/card/bng/4/archetype-of-courage,https://cards.scryfall.io/large/front/8/e/8e6c4afb-6a94-4519-91c6-9824fed2892c.jpg?1593091364,勇气典范,勇氣典範,Archétype du courage,Sinnbild des Mutes,Archetipo del Coraggio,勇気の元型,용기의 표상,Arquétipo da Coragem,Образец Отваги,Prototipo de valor
"Brimaz, King of Oreskos","Brimaz, King of Oreskos	{1}{W}{W}
Legendary Creature — Cat Soldier
Vigilance
Whenever Brimaz attacks, create a 1/1 white Cat Soldier creature token with vigilance that's attacking.
Whenever Brimaz blocks a creature, create a 1/1 white Cat Soldier creature token with vigilance that's blocking that creature.
3/4
",https://scryfall.com/card/bng/5/brimaz-king-of-oreskos,https://cards.scryfall.io/large/front/f/5/f54eb705-6326-4bac-bf0e-68d42db7a270.jpg?1593091372,俄瑞恣狮王布黎玛,俄瑞恣獅王布黎瑪,"Brimaz, roi d'Oreskos","Brimaz, König von Oreskos","Brimaz, Re di Oreskos",オレスコスの王、ブリマーズ,오레스코스의 왕 브리마즈,"Brimaz, Rei de Oreskos","Бримаз, Король Ореска","Brimaz, rey de Oreskos"
Dawn to Dusk,"Dawn to Dusk	{2}{W}{W}
Sorcery
Choose one or both —
• Return target enchantment card from your graveyard to your hand.
• Destroy target enchantment.

",https://scryfall.com/card/bng/6/dawn-to-dusk,https://cards.scryfall.io/large/front/6/0/605ad738-1f3e-47c2-b6cb-f79d2f6c16f1.jpg?1562704939,晨昏交替,晨昏交替,De l'aube au crépuscule,Morgenrot zu Abendrot,Dall'Alba al Tramonto,日の出から日没,새벽에서 황혼까지,Da Alvorada ao Anoitecer,Из Рассвета в Закат,Desde el alba hasta el anochecer
Eidolon of Countless Battles,"Eidolon of Countless Battles	{1}{W}{W}
Enchantment Creature — Spirit
Bestow {2}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
This creature and enchanted creature each get +1/+1 for each creature you control and +1/+1 for each Aura you control.
0/0
",https://scryfall.com/card/bng/7/eidolon-of-countless-battles,https://cards.scryfall.io/large/front/4/a/4ad6fcb1-7c35-4111-8f1e-d18a2fae5638.jpg?1775940622,百战幻灵,百戰幻靈,Eidôlon des batailles innombrables,Eidolon der zahllosen Schlachten,Apparizione di Infinite Battaglie,万戦の幻霊,수많은 전투의 에이돌론,Eidolon das Batalhas Incontáveis,Эйдолон Бесчисленных Битв,Eidolón de innumerables batallas
Elite Skirmisher,"Elite Skirmisher	{2}{W}
Creature — Human Soldier
Heroic — Whenever you cast a spell that targets this creature, you may tap target creature.
3/1
",https://scryfall.com/card/bng/8/elite-skirmisher,https://cards.scryfall.io/large/front/9/8/982eed00-e9fe-4d0f-a2b7-9606aa7926a1.jpg?1593091397,精英侦卫,精英偵衛,Assaillant d'élite,Elite-Plänkler,Esploratore Scelto,散兵の精鋭,정예 척후병,Escaramuçador de Elite,Ветеран-Застрельщик,Escaramuzador de élite
Ephara's Radiance,"Ephara's Radiance	{W}
Enchantment — Aura
Enchant creature
Enchanted creature has ""{1}{W}, {T}: You gain 3 life.""

",https://scryfall.com/card/bng/9/epharas-radiance,https://cards.scryfall.io/large/front/e/0/e0741582-0c7b-4d5b-83a9-dd8862de1f24.jpg?1593091407,厄芳拉的辉芒,厄芳拉的輝芒,Irradiance selon Éphara,Epharas Ausstrahlung,Fulgore di Efara,エファラの輝き,에파라의 광휘,Radiância de Efara,Сияние Эфары,Resplandor de Efara
Excoriate,"Excoriate	{3}{W}
Sorcery
Exile target tapped creature.

",https://scryfall.com/card/bng/10/excoriate,https://cards.scryfall.io/large/front/b/a/ba8db734-1923-40e9-821b-17b534ba5995.jpg?1592765263,痛斥,痛斥,Excoriation,Vernichtende Zurechtweisung,Stigmatizzare,剥離,몰아붙이기,Escoriar,Суровое Порицание,Excoriar
Fated Retribution,"Fated Retribution	{4}{W}{W}{W}
Instant
Destroy all creatures and planeswalkers. If it's your turn, scry 2.

",https://scryfall.com/card/bng/11/fated-retribution,https://cards.scryfall.io/large/front/8/1/8158b330-2868-4147-907e-4d86e44cfaad.jpg?1593091437,命定报应,命定報應,Châtiment annoncé,Schicksalhafte Vergeltung,Punizione Fatidica,宿命的報復,운명적 복수,Retribuição Predestinada,Предначертанное Возмездие,Venganza nefasta
Ghostblade Eidolon,"Ghostblade Eidolon	{2}{W}
Enchantment Creature — Spirit
Bestow {5}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Double strike (This creature deals both first-strike and regular combat damage.)
Enchanted creature gets +1/+1 and has double strike.
1/1
",https://scryfall.com/card/bng/12/ghostblade-eidolon,https://cards.scryfall.io/large/front/0/7/0795101e-07d9-419a-adca-3eb57536fd5f.jpg?1562700919,鬼刃幻灵,鬼刃幻靈,Eidôlon aux lames fantômes,Geisterklingen-Eidolon,Apparizione delle Lame Fantasma,霊刃の幻霊,유령검 에이돌론,Eidolon Espada Fantasma,Эйдолон Призрачных Клинков,Eidolón filoespectral
Glimpse the Sun God,"Glimpse the Sun God	{X}{W}
Instant
Tap X target creatures. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)

",https://scryfall.com/card/bng/13/glimpse-the-sun-god,https://cards.scryfall.io/large/front/f/2/f241e5f7-3168-4bd2-b586-185aad3ae9d9.jpg?1593091455,瞥视太阳神,瞥視太陽神,Aperçu du dieu du Soleil,Anblick des Sonnengottes,Intravedere il Dio del Sole,太陽神の一瞥,태양신을 보다,Vislumbre do Deus Sol,Взор Бога Солнца,Vislumbrar al dios del sol
God-Favored General,"God-Favored General	{1}{W}
Creature — Human Soldier
Inspired — Whenever this creature becomes untapped, you may pay {2}{W}. If you do, create two 1/1 white Soldier enchantment creature tokens.
1/1
",https://scryfall.com/card/bng/14/god-favored-general,https://cards.scryfall.io/large/front/9/8/984c2db0-5a79-47b8-8a42-5674c6d9d0fd.jpg?1593091464,神泽将领,神澤將領,Général favori des dieux,Götterbegnadeter General,Generale Favorito degli Dei,神に寵愛された将軍,신이 보살피는 장군,General Protegido pelos Deuses,Любимый Богами Генерал,General bendecido por los dioses
